EVE HDL33AINE,[]
EVR 1209,"['https://www.batteryjunction.com/6voev12labas.html', 'https://www.walmart.com/ip/Eveready-Super-Heavy-Duty-6V-Carbon-Zinc-Battery/10242712']"
CC C2538,[]
ENT 10500220,['http://www.elliottelectric.com/P/Item/ENT/011511607/']
RAY IV2D,"['https://www.ballardindustrial.com/2374529/Product/Spectrum-Brands-IV2D', 'http://www.rayovacindustrial.com/Products/Lights/Industrial-Lights/IV2DC-2D-Yellow-Utility-Flashlight-in-Tuck-Carton.aspx', 'https://www.ebay.com/itm/131973788363', 'https://www.batteryjunction.com/rayovac-iv2dc.html']"
16/1PR SHD XLP/HYP,['https://www.nassauelectrical.com/products/superior-essex-cable-pvc-nylon-pvc-600v-power-type-tc-er-unshielded-cable']
12/4XLPHYP,[]
16MTWGRY,"['https://www.tooleandrosesupply.com/brand-southwire/16-mtw-gry-25mr-rohs/sku-V3864-411020909', 'https://www.auraelectricsupply.com/brand-southwire/16-mtw-blk-25mr-rohs/sku-V3864-411020908']"
PAN HHR-4DPA,['https://shop.panasonic.com/cordless-corded-telephones/cordless-corded-telephones-accessories/telephone-batteries/HHR-4DPA.html']
FAB SX0011 MEDIUM,[]
14SOLRED,['https://www.mainelectricsupply.com/itemdetail/14REDSOL']
RYC MCK2V,"['https://www.3m.com/3M/en_US/company-us/all-3m-products/~/3M-Scotchcast-Inline-Splice-Kit-72-N5-0-600-V-1per-case/?N=5002385+4294890211&rt=d', 'https://www.ebay.com/itm/NEW-RAYCHEM-MOTOR-CONNECTION-KIT-MCK-2V-600V-12-4-FEEDER-MCK2V-/291389846386']"
ERI B-103-DE-OL,"['https://www.gexpro.com/p/886734/nvent-erico/lug-cu-3-16-x-1-w-2-7-16-holes-offset-pkg/782856321514/b103deol', 'https://www.platt.com/platt-electric-supply/Compression-Lugs-Copper-1-Hole/nVent-Erico/B102CEOL/product.aspx?zpid=238860']"
10THHNGRY25,"['https://www.crawfordelectricsupply.com/product/detail/THHN-Wire-Copper-WIC-THHN-10-STR-GRY-2500R/?s=22641', 'https://www.walterswholesale.com/southwire-58020605-solid-annealed-copper-thwn-thhn-wire-10-awg-1250-ft-reel-gray-simpull-trade-185435']"
12THHNBRN25,"['https://www.platt.com/platt-electric-supply/THHN-Copper-Stranded-12-AWG/Multiple/12THHNCSTRBROX2500/product.aspx?zpid=62616', 'https://www.frommelectric.com/3074786/p/n/generic-thhn-600-vac-1-10-awg-stranded-copper-conductor-2500-ft-spoolreel-l-brown']"
PVC 500FA,[]
14/5XLPHYP,[]
INT K4223C,"['https://www.unitedelectric.com/buy/product/ITMK4223C-INT-MAT-K4223C-SWIVEL-MT-8004-product-ITMK4223C-INT-MAT-K4223C-SWIVEL-MT/8004', 'https://www.mayerelectric.com/Product/INTERMATIC-INT-MAT-K4223C-15A-208-277v-3100-4150w-Photocell-Thermal-Type-Stem-Swivel-Mount-078275056954', 'https://www.greenelectricalsupply.com/intermatic-k4223c-208-277-volt-swivel-mount-dusk-to-dawn-photocell-sensors.aspx', 'https://www.munroelectric.com/silvereclipse/index.jsp?path=product&part=368949&process=search&ID=,Occupancy.Sensors...Photocells,Photocells,Stem...Swivel.Mount.Photocel', 'https://www.springfieldelectric.com/d/Intermatic-K4223C/13200']"
NEE TC601,"['https://www.platt.com/platt-electric-supply/Die-Cast-EMT-Compression-Connectors-CT-Cast/Appleton/TC-601/product.aspx?zpid=43894', 'https://kscdirect.com/item/EGS%2520TC-601/', 'https://www.rexelusa.com/p/23627/appleton-emt-compression-connector-1-2-zinc-die-cast-concrete-tight-687855106011-tc-601', 'https://www.cesco.com/Appleton-TC-601-TC-601-EGS-1-2-D-C-COMP-EMT-CONN/p1980274', 'https://www.edwardssupply.com/die-cast-uninsulated-straight-compression-emt-connectors/-apptc601-76323.html']"
BEL 2412-0051,"['https://catalog.belden.com/index.cfm?event=pd&p=PF_2412', 'https://www.bhphotovideo.com/c/product/855775-REG/Belden_2412006A1000_CAT_6_CABLE_BLUE_1K.html']"
HAR 67227,[]
THE TP413,[]
ALU 300XCLS,['https://www.ebay.com/itm/Rigid-Galvanized-Conduit-Nipple-3-x-Close-Electrical-Fitting-RN-300xCL-/331877553640']
GE F8T5CW,"['https://www.walmart.com/ip/GE-10059-F8T5-CW-Straight-T5-Fluorescent-Tube-Light-Bulb/122356431', 'https://www.1000bulbs.com/product/2347/F-8T5CWG.html', 'https://www.ebay.com/itm/350247800805', 'https://www.bulbs.com/product/F8T5CW']"
LIT DMW254T5HOMVOLTACNS90,[]
SLI 200PS25/IF,"['http://www.bulbscanada.com/index.php?route=product/product&product_id=1172', 'https://www.atlantalightbulbs.com/light-bulbs/incandescent-light-bulbs/incandescent-ps-pear-shaped-long-neck/200ps25-if/']"
GE F32T8/SP35/ECO,"['https://www.walmart.com/ip/GE-26667-F32T8-SP35-ECO-Straight-T8-Fluorescent-Tube-Light-Bulb/26381732', 'https://www.1000bulbs.com/product/2400/GE-26667.html', 'https://catalog.gecurrent.com/catalog/p/26667', 'https://www.lightingsupply.com/ge-f32t8-spx35-eco.aspx', 'https://www.adlsupply.com/ge-t8-eco/ge-26667-f32t8-sp35-eco/']"
TAD TL-5101/S,"['https://www.ebay.de/itm/Tadiran-TL-5101-S-3-6V-1-2-AA-950mAh-Lithium-Battery-ER14250-/122129792407', 'https://www.batteryjunction.com/plc-ls14250-ba.html']"
ENT 16307327,[]
BEL 2413 WHITE,"['https://www.amazon.com/2413-009A1000-Belden-Enhanced-Category/dp/B005T5IGF2', 'https://www.bhphotovideo.com/c/product/846835-REG/Belden_BEL_2413010A1000_CAT_6E_PLENUM_CABLE.html', 'https://www.ebay.com/itm/Belden-2413-009U1000-23-AWG-4-Pair-U-UTP-CMP-Box-Cat-6-Unbonded-White-/224170350704']"
BRA R4310,"['https://www.bradyid.com/ribbons-cartridges/tls-2200-r4300-series-printer-ribbon-pid-r4310', 'https://www.amazon.com/Brady-TLS2200-R4310-Printer-Ribbon/dp/B002C0UUF6']"
BRA PTL30-427,"['https://www.walmart.com/ip/Brady-PTL-30-427-Self-Laminating-Labels-White-75-x-1-5-250-RL/849289368', 'https://www.bradyid.com/wire-cable-labels/bmp71-bmp61-m611-tls-2200-self-laminating-vinyl-wire-cable-labels-cps-2911885?part-number=ptl-30-427-aw', 'https://www.alliedelec.com/brady-ptl-30-427/70838839/']"
BEL 6300FE,"['https://shop.kendallelectric.com/catalog/shop/Sound-Alarm-Security-Cables/dept-VWN?pagenum=1&itemsperpage=60&a=1', 'https://www.kirbyrisk.com/store/shielded-cable/']"
MEL MS2,['https://www.rexelusa.com/p/1147406/78447402790/ap-sgfs-ms2']
SLI E2-32-I-UV-N,['https://ballastshop.com/b232iunvhp-n-b232iunvhp-b-universal-triad-electronic-fluorescent-ballast/']
BRI 408DC2,"['https://www.elliottelectric.com/P/Item/BRI/408DC2/', 'https://www.munroelectric.com/silvereclipse/index.jsp?path=product&part=32794&ds=dept&process=search&ID=,Steel..Plastic...Flexible.Conduit,Flexible.Conduit...Fittings,Fittings,Greenfield.Fittin', 'https://www.gordonelectricsupply.com/p/Bridgeport-408Dc2-3-4-Sqz-Connector/35647', 'https://www.rexelusa.com/usr/Root-Category/Fittings/MC%2C-NM-B%2C-Liquidtight%2C-Flex-Fittings/Flex-Fittings/Flex-Connectors---Squeeze---Straight/Bridgeport-Fittings-408-DC2-3-4%22-SQUEEZE-CONN-ZINC/p/270855', 'https://www.bptfittings.com/store/connector-squeeze-zinc-die-cast-trade-size-3-4-inch.html', 'https://jbjsupply.com/bridgeport-408-dc2-flexible-metal-conduit-squeeze-connector-3-4-in/', 'https://shop.dominionelectric.com/buy/product/bridgeport/33728']"
DIA 513-0101-604,[]
ARMAFLEX IPH,['https://www.distributioninternational.com/insulation/elastomeric-and-polyethylene/elastomeric-pipe-covering/rupc06010a']
ABB 0008292.01,"['https://www.platt.com/platt-electric-supply/ABB-Entrelec/0008-292-01/product.aspx?zpid=20261', 'https://new.abb.com/products/7TAA120360R0002/23-0kv-12k-ext-backup-fuse-type-5', 'https://new.abb.com/products/ABB7TAA124320R0079', 'https://new.abb.com/products/7TAA120120R0013/15-5kv-100a-os-backup-fuse']"
ADA 12958,"['https://www.rexelusa.com/usr/Root-Category/Fittings/Bushings-K-O-Seals-Locknuts/Bushings---Conduit/Bushings---Rigid-%26-IMC/Adalet-PEM-12-Bushing%2C-Threaded%2C-Size%3A-3%22%2C-Material%3A-Phenolic/p/35694', 'https://www.rexelusa.com/usr/Root-Category/Fittings/Bushings-K-O-Seals-Locknuts/Bushings---Conduit/Bushings---Rigid-%26-IMC/Adalet-PE-6-Bushing%2C-Threaded%2C-Size%3A-1-1-2%22%2C-Material%3A-Phenolic/p/36336']"
PAN UP-RW1245P-1,[]
BL 9A-1024,"['https://www.rexelusa.com/p/1145/eaton-b-line-vertical-adjustable-splice-plates-for-3-nema-4-high-aluminum-pair-78101125713-9a-1024', 'https://www.springfieldelectric.com/d/Cooper-B-Line-Eaton-9A-1024/2530673', 'https://www.reynoldsonline.com/2337006/Product/B-Line_By_EATON_9A-1024']"
GE MVR400/VBU/R,"['https://www.iqlightbulbs.com/ge_12770_mvr400_vbu_r.asp', 'https://www.iqlighting.com/ge-12770-mvr400-vbu-r.asp', 'https://lightbulbsurplus.com/products/ge-mvr400-vbu-ho-quartz-metal-halide-400w-49657-ed37-bulb.html']"
ILS CRA500L2,"['https://www.ebay.com/itm/NEW-ILSCO-CRA500L2-Long-Barrel-Compression-Lugs-LOT-OF-10-/163230119964', 'https://www.ebay.com/itm/LOT-OF-4-ILSCO-CRA500L2-500-MCM-2-Hole-Long-Barrel-Compression-Lugs-FD-/184544732893', 'https://www.rexelusa.com/p/950099/ilsco-ilsco-alnd-500-38-134-al-comp-500-k-783669690811-alnd-500-38-134', 'https://new.abb.com/products/7TAA262020R0152/al-comp-lug-500-kcmil-2-hole-6-3-8', 'https://www.platt.com/platt-electric-supply/Compression-Lugs-Aluminum-1-Hole/Ilsco/ACL-500/product.aspx?zpid=29078', 'https://www.mainelectricsupply.com/itemdetail/ILSCLND50012134']"
BARRIER TAPE,[]
BEL 27111A-E64067,[]
RAY MCK-1V,"['https://www.platt.com/platt-electric-supply/Heat-Shrink-Kits/TE-Connectivity/MCK-1V/product.aspx?zpid=650428', 'https://www.elliottelectric.com/P/Item/RAY/MCK1V/', 'https://www.ebay.com/itm/Raychem-MCK-4V-MCK-3V-MCK-2V-MCK-1V-600V-Motor-Connection-Kit-3-C-/113691125381', 'https://shop.kendallelectric.com/buy/product/MCK-5-1V-RAYCHEM-MOTOR-CONNECTION/2486372']"
THE TP508,"['https://www.amazon.com/Cooper-Crouse-Hinds-Square-Exposed-Toggle/dp/B002KK5GLQ', 'https://www.cooper-electric.com/product/detail/Eaton-Crouse-Hinds-TP508?s=4885', 'https://www.lightingsupply.com/garvin-g1936.aspx', 'https://cednampa.portalced.com/Product/CCHO/TP508/']"
ENT 16307000,[]
ECO E-CVL-144NEN-120A PART#14,"['https://www.restroomdirect.com/elkay-part-98466C.aspx', 'https://www.drinkingfountaindoctor.com/elkay-98466c-solenoid-valve']"
14MTWBLU,"['https://www.lebanonelectric.com/brand-southwire/14-mtw-blu-25mr-rohs/sku-V3864-411030906', 'https://www.elliottelectric.com/P/Item/COR/MTW14STBL2500/', 'https://www.auraelectricsupply.com/brand-southwire/14-mtw-blk-500r-rohs/sku-V3864-411030508']"
LIT TWP-150S-TB-PE-LPI,"['https://www.kirbyrisk.com/products/493280/', 'https://www.platt.com/platt-electric-supply/Wallpacks-H-I-D-CFL-Wall-Packs-High-Pressure-Sodium/Lithonia-Lighting/TWP-150S-TB/product.aspx?zpid=197243', 'https://jbjsupply.com/lithonia-lighting-twp-150s-tb-l-lp-150w-hps-wallpack/', 'https://www.ebay.com/itm/Lithonia-Lighting-TWP-150M-TB-LPI-Metal-Halide-Wall-Pack-Bronze-/182992088845']"
THE TP507,"['https://www.platt.com/platt-electric-supply/4-Square-Boxes-Accessories-Exposed-Work-Covers/Cooper-Crouse-Hinds/TP507/product.aspx?zpid=721659', 'https://www.elliottelectric.com/P/Item/CRS/TP507/', 'https://www.eaton.com/us/en-us/skuPage.TP507.html', 'https://kscdirect.com/item/CRH+TP507/Cooper+Crouse+Hinds_SQUARE+COVER+20A+RECEPT+4+CROUSE-HINDS+TP507']"
APL LR27,"['https://www.eaton.com/us/en-us/skuPage.LR27.html', 'https://www.rexelusa.com/usr/Root-Category/Fittings/Conduit-Bodies/Conduit-Bodies---Iron/Conduit-Bodies---Type-LR/Cooper-Crouse-Hinds-LR27-3-4-LR-FORM-7-CNDT-BODY/p/39663', 'https://www.platt.com/platt-electric-supply/Conduit-Bodies-Iron-Type-LR/Appleton/APPLR27/product.aspx?zpid=3093', 'https://www.platt.com/platt-electric-supply/Conduit-Bodies-Iron-Type-LR/Cooper-Crouse-Hinds/LR27/product.aspx?zpid=302047', 'https://www.mainelectricsupply.com/itemdetail/APPLB27', 'https://www.elliottelectric.com/P/Item/APP/LL27/', 'https://www.elliottelectric.com/P/Item/PLB/LL27/', 'https://www.amazon.com/Appleton-LR27-Conduit-Outlet-Style/dp/B000L9QKYA']"
NEE TC503,"['https://www.ebay.com/itm/1-EMT-Connector-Neer-TC-503-Set-Screw-Type-/260998456705', 'https://www.ebay.com/itm/Lot-of-Approx-30ea-Neer-TC-503-1-Screw-EMT-Connectors-/323765440034', 'https://www.rexelusa.com/p/23873/appleton-emt-set-screw-connector-1-zinc-die-cast-687855105038-tc-503', 'https://www.elliottelectric.com/P/Item/BRI/232DC2/', 'https://picclick.co.uk/Lot-of-2-TC-515-Neer-Set-Screw-Conduit-201429672892.html']"
NEE TC513,"['https://www.ebay.com/p/4042417113', 'https://www.springfieldelectric.com/d/EGS-Neer-TC-513/2408189']"
TB B900,['https://rotorcorp.com/r44-parts/']
APL LL37,"['https://www.eaton.com/us/en-us/skuPage.LL37.html', 'https://www.eaton.com/us/en-us/skuPage.LL37%20SA.html', 'https://www.elliottelectric.com/P/Item/APP/LL37/', 'https://www.gexpro.com/p/537237/appleton/condulet-cover-with-gasket-1-2-form-7-stamped-steel/781381167710/app170fig', 'https://www.galco.com/buy/Crouse-Hinds/LL37']"
PVC 30045,"['https://www.springfieldelectric.com/d/PVC-Fittings-EL30045B/2281413', 'https://www.gexpro.com/p/444943/bizline/3-pvc-elbow-45-schedule-40-belled-end/30045elbbe', 'https://www.rexelusa.com/s/schedule-40-pvc-45-degree-conduit-elbows?cat=wri9hl7y', 'https://www.buyinsulationproductstore.com/pvc-45-deg-elbow-cover/', 'https://webstore.servelectric.com/Product/CON/538920-PVCEL30045D']"
SHM 012XCLS,[]
PHL 100A-250V,['https://www.ebay.com/p/1900940877']
GRC 212XCLS,"['https://www.topaz-usa.com/6457', 'https://www.amazon.com/Close-Thread-Galvanized-Nipple-Schedule/dp/B07JH3ZYS7']"
RYC HVT-Z-152-G – 9,"['https://www.scottelectricusa.com/online-store/product/raychem-hvt-z-152-sg-15kv-2-0-350-mcm-heat-shrink-termination-kit/711169', 'https://www.rexelusa.com/p/195456/te-connectivity/heat-shrink-termination-kit-indoor-2-awg-250-mcm-15kv-/045686002108/hvtz152g', 'https://www.elliottelectric.com/P/Item/RAY/HVTZ152G/']"
PEC WH6,"['https://www.elliottelectric.com/P/Item/CRS/ST6/', 'https://www.gordonelectricsupply.com/p/Halex-16320-2In-Water-Tight-Myers-Conduit-Hubs/6165325']"
RAC 4284,[]
PHD 2107EG,[]
KEY BYX238B,[]
3051S1CD2A2000A1AE5M5,[]
BRA XSL-96-427,['https://www.bradyid.com/wire-cable-labels/idxpert-self-laminating-vinyl-wire-lab-labels-cps-3226303?part-number=xsl-96-427']
16/3SHXLINK,[]
IGP20-D27E21F-L1,[]
IGP10-D20D1F-T,[]
MAG B234SR120M,"['https://www.amazon.com/Universal-24214-B234SR120M-A000I-Fluorescent-Ballast/dp/B002B7SAEI', 'https://www.lightingsupply.com/universal-b234sr120m-a.aspx', 'https://www.bulbs.com/product/B234SR120M-A000I', 'https://www.rexelusa.com/usr/Root-Category/Lamps%2C-Bulbs%2C-Ballasts/Ballasts---Fluorescent/Ballasts---Electronic/Electronic-Ballasts---T12/Universal-Lighting-Technologies-B234SR120M-A010C-Electronic-Ballast%2C-Fluorescent%2C-T12%2C-2-Lamp%2C-120V/p/398023', 'https://www.ebay.com/itm/B234SR120M-A-Universal-Ballast-for-2-F40T12-F34T12-Lamps-120V-/222200158839']"
